2189	1275	727	5.09901951359278	
2190	1278	722	5.8309518948453	
2191	1279	728	6.08276253029822	
2192	1281	721	7.28010988928052	
2193	1280	720	1.4142135623731	
2194	1280	720	0	
2195	1280	720	0	
2196	1280	720	0	
2197	1280	720	0	
2198	1281	722	2.23606797749979	
2199	1280	720	2.23606797749979	
2200	1280	720	0	
2201	1280	720	0	
2202	1280	720	0	
2203	1280	720	0	
2204	1280	720	0	
2205	1280	721	1	
2206	1279	721	1	
2207	1252	729	28.1602556806574	
2208	1224	735	28.6356421265527	
2209	1201	742	24.0416305603426	
2210	1271	726	71.805292284065	
2211	1287	721	16.7630546142402	
2212	1280	720	7.07106781186548	
2213	1286	724	7.21110255092798	
2214	1280	720	7.21110255092798	
2215	1296	708	20	
2216	1312	707	16.0312195418814	
2217	1299	715	15.2643375224737	
2218	1285	719	14.560219778561	
2219	1280	720	5.09901951359278	
2220	1280	720	0	
2221	1280	720	0	
2222	1280	720	0	
2223	1280	720	0	
2224	1280	720	0	
2225	1280	720	0	
2226	1278	724	4.47213595499958	
2227	1280	720	4.47213595499958	
2228	1278	720	2	
2229	1278	721	1	
2230	1279	721	1	
2231	1279	725	4	
2232	1280	725	1	
2233	1279	725	1	
2234	1277	733	8.24621125123532	
2235	1280	728	5.8309518948453	
2236	1283	726	3.60555127546399	
2237	1286	726	3	
2238	1281	721	7.07106781186548	
2239	1286	723	5.3851648071345	
2240	1280	720	6.70820393249937	
2241	1280	720	0	
2242	1280	720	0	
2243	1280	720	0	
2244	1280	720	0	
2245	1280	720	0	
2246	1280	720	0	
2247	1283	720	3	
2248	1282	721	1.4142135623731	
2249	1285	724	4.24264068711928	
2250	1282	721	4.24264068711928	
2251	1280	720	2.23606797749979	
2252	1280	720	0	
2253	1280	720	0	
2254	1280	720	0	
2255	1280	720	0	
2256	1280	720	0	
2257	1282	722	2.82842712474619	
2258	1282	720	2	
2259	1283	720	1	
2260	1280	720	3	
2261	1280	720	0	
2262	1280	720	0	
2263	1280	720	0	
2264	1280	720	0	
2265	1280	720	0	
2266	1280	719	1	
2267	1279	720	1.4142135623731	
2268	1280	720	1	
2269	1279	720	1	
2270	1278	720	1	
2271	1279	720	1	
2272	1280	720	1	
2273	1280	720	0	
2274	1280	720	0	
2275	1278	719	2.23606797749979	
2276	1278	720	1	
2277	1279	720	1	
2278	1277	720	2	
2279	1280	720	3	
2280	1280	720	0	
2281	1280	720	0	
2282	1281	720	1	
2283	1280	720	1	
2284	1280	720	0	
2285	1280	720	0	
2286	1280	720	0	
2287	1280	720	0	
2288	1280	720	0	
2289	1278	720	2	
2290	1277	719	1.4142135623731	
2291	1262	716	15.2970585407784	
2292	1280	720	18.4390889145858	
2293	1280	720	0	
2294	1280	720	0	
2295	1280	720	0	
2296	1280	720	0	
2297	1280	720	0	
2298	1280	720	0	
2299	1280	720	0	
2300	1280	720	0	
2301	1280	720	0	
2302	1280	720	0	
2303	1280	720	0	
2304	1280	720	0	
2305	1280	720	0	
2306	1280	720	0	
2307	1280	720	0	
2308	1280	720	0	
2309	1280	720	0	
2310	1280	720	0	
2311	1280	720	0	
2312	1278	720	2	
2313	1276	722	2.82842712474619	
2314	1278	721	2.23606797749979	
2315	1279	720	1.4142135623731	
2316	1280	720	1	
2317	1280	720	0	
2318	1280	721	1	
2319	1280	720	1	
2320	1280	720	0	
2321	1280	720	0	
2322	1280	720	0	
2323	1281	718	2.23606797749979	
2324	1281	719	1	
2325	1280	720	1.4142135623731	
2326	1280	720	0	
2327	1280	719	1	
2328	1279	720	1.4142135623731	
2329	1277	720	2	
2330	1275	721	2.23606797749979	
2331	1272	722	3.16227766016838	
2332	1275	720	3.60555127546399	
2333	1280	720	5	
2334	1279	720	1	
2335	1279	720	0	
2336	1279	720	0	
2337	1280	720	1	
2338	1279	716	4.12310562561766	
2339	1281	714	2.82842712474619	
2340	1280	717	3.16227766016838	
2341	1280	720	3	
2342	1280	719	1	
2343	1280	722	3	
2344	1280	720	2	
2345	1280	720	0	
2346	1280	720	0	
2347	1280	720	0	
2348	1262	722	18.1107702762748	
2349	1239	719	23.1948270094864	
2350	1239	717	2	
2351	1239	720	3	
2352	1280	720	41	
2353	1280	720	0	
2354	1280	720	0	
2355	1263	721	17.0293863659264	
2356	1280	720	17.0293863659264	
2357	1279	720	1	
2358	1265	722	14.142135623731	
2359	1231	723	34.0147027033899	
2360	1253	719	22.3606797749979	
2361	1280	720	27.0185121722126	
2362	1272	720	8	
2363	1276	720	4	
2364	1271	720	5	
2365	1280	720	9	
2366	1280	720	0	
2367	1278	720	2	
2368	1280	720	2	
2369	1280	720	0	
2370	1283	719	3.16227766016838	
2371	1280	720	3.16227766016838	
2372	1280	720	0	
2373	1280	720	0	
2374	1280	720	0	
2375	1280	720	0	
2376	1280	720	0	
2377	1280	720	0	
2378	1280	721	1	
2379	1280	720	1	
2380	1279	721	1.4142135623731	
2381	1280	720	1.4142135623731	
2382	1280	720	0	
2383	1280	720	0	
2384	1280	720	0	
2385	1280	720	0	
2386	1280	720	0	
2387	1252	721	28.0178514522438	
2388	1266	722	14.0356688476182	
2389	1278	721	12.0415945787923	
2390	1280	721	2	
2391	1280	721	0	
2392	1281	720	1.4142135623731	
2393	1282	720	1	
2394	1282	719	1	
2395	1281	720	1.4142135623731	
2396	1280	720	1	
2397	1280	720	0	
2398	1280	720	0	
2399	1280	720	0	
2400	1280	720	0	
2401	1280	720	0	
2402	1281	720	1	
2403	1280	720	1	
2404	1284	720	4	
2405	1284	721	1	
2406	1280	720	4.12310562561766	
2407	1281	720	1	
2408	1280	720	1	
2409	1280	720	0	
2410	1280	720	0	
2411	1280	720	0	
2412	1280	720	0	
2413	1280	720	0	
2414	1280	720	0	
2415	1280	720	0	
2416	1282	718	2.82842712474619	
2417	1280	720	2.82842712474619	
2418	1277	720	3	
2419	1276	720	1	
2420	1259	725	17.7200451466693	
2421	1264	723	5.3851648071345	
2422	1271	723	7	
2423	1280	720	9.48683298050514	
2424	1280	720	0	
2425	1280	720	0	
2426	1280	720	0	
2427	1280	720	0	
2428	1280	720	0	
2429	1280	720	0	
2430	1298	716	18.4390889145858	
2431	1286	719	12.369316876853	
2432	1282	719	4	
2433	1281	719	1	
2434	1280	720	1.4142135623731	
2435	1280	720	0	
2436	1280	720	0	
2437	1280	720	0	
2438	1280	720	0	
2439	1279	721	1.4142135623731	
2440	1277	722	2.23606797749979	
2441	1279	720	2.82842712474619	
2442	1274	721	5.09901951359278	
2443	1278	721	4	
2444	1280	720	2.23606797749979	
2445	1280	720	0	
2446	1300	720	20	
2447	1366	716	66.1211010192662	
2448	1379	708	15.2643375224737	
2449	1297	720	82.8733974204026	
2450	1283	722	14.142135623731	
2451	1280	720	3.60555127546399	
2452	1285	722	5.3851648071345	
2453	1298	721	13.0384048104053	
2454	1321	721	23	
2455	1298	720	23.0217288664427	
2456	1281	720	17	
2457	1280	720	1	
2458	1280	720	0	
2459	1280	720	0	
2460	1280	720	0	
2461	1280	720	0	
2462	1277	716	5	
2463	1277	718	2	
2464	1280	718	3	
2465	1282	718	2	
2466	1302	697	29	
2467	1294	697	8	
2468	1278	706	18.3575597506858	
2469	1279	719	13.0384048104053	
2470	1280	720	1.4142135623731	
2471	1280	720	0	
2472	1274	715	7.81024967590665	
2473	1280	720	7.81024967590665	
2474	1281	723	3.16227766016838	
2475	1280	720	3.16227766016838	
2476	1280	720	0	
2477	1280	720	0	
2478	1280	720	0	
2479	1281	724	4.12310562561766	
2480	1283	720	4.47213595499958	
2481	1286	719	3.16227766016838	
2482	1280	720	6.08276253029822	
2483	1282	718	2.82842712474619	
2484	1281	716	2.23606797749979	
2485	1280	720	4.12310562561766	
2486	1280	720	0	
2487	1275	711	10.295630140987	
2488	1279	720	9.8488578017961	
2489	1275	723	5	
2490	1280	722	5.09901951359278	
2491	1280	721	1	
2492	1280	721	0	
2493	1280	721	0	
2494	1280	720	1	
2495	1280	720	0	
2496	1280	720	0	
2497	1280	720	0	
2498	1280	720	0	
2499	1280	720	0	
2500	1280	720	0	
2501	1280	720	0	
2502	1280	720	0	
2503	1280	720	0	
2504	1280	720	0	
2505	1280	720	0	
2506	1280	720	0	
2507	1280	720	0	
2508	1290	726	11.6619037896906	
2509	1280	726	10	
2510	1301	744	27.6586333718787	
2511	1280	720	31.890437438204	
2512	1282	718	2.82842712474619	
2513	1286	720	4.47213595499958	
2514	1280	720	6	
2515	1280	720	0	
2516	1282	720	2	
2517	1281	721	1.4142135623731	
2518	1280	720	1.4142135623731	
2519	1281	721	1.4142135623731	
2520	1280	720	1.4142135623731	
2521	1280	720	0	
2522	1280	720	0	
2523	1280	720	0	
2524	1280	720	0	
2525	1280	720	0	
2526	1279	720	1	
2527	1277	720	2	
2528	1279	720	2	
2529	1276	721	3.16227766016838	
2530	1278	720	2.23606797749979	
2531	1280	720	2	
2532	1280	720	0	
2533	1280	720	0	
2534	1279	718	2.23606797749979	
2535	1280	719	1.4142135623731	
2536	1280	720	1	
2537	1280	720	0	
2538	1280	720	0	
2539	1280	720	0	
2540	1280	720	0	
2541	1280	720	0	
2542	1280	720	0	
2543	1280	720	0	
2544	1280	720	0	
2545	1280	720	0	
2546	1280	720	0	
2547	1280	720	0	
2548	1288	728	11.3137084989848	
2549	1285	722	6.70820393249937	
2550	1280	720	5.3851648071345	
2551	1280	720	0	
2552	1280	720	0	
2553	1280	720	0	
2554	1280	722	2	
2555	1275	726	6.40312423743285	
2556	1261	730	14.560219778561	
2557	1249	726	12.6491106406735	
2558	1246	735	9.48683298050514	
2559	1250	736	4.12310562561766	
2560	1294	724	45.6070170039655	
2561	1280	720	14.560219778561	
2562	1280	720	0	
2563	1280	720	0	
2564	1280	720	0	
2565	1280	720	0	
2566	1267	724	13.6014705087354	
2567	1275	720	8.94427190999916	
2568	1280	720	5	
2569	1280	720	0	
2570	1261	720	19	
2571	1273	722	12.1655250605964	
2572	1279	720	6.32455532033676	
2573	1280	720	1	
2574	1280	720	0	
2575	1273	720	7	
2576	1272	719	1.4142135623731	
2577	1272	719	0	
2578	1271	722	3.16227766016838	
2579	1280	720	9.21954445729289	
2580	1282	721	2.23606797749979	
2581	1281	722	1.4142135623731	
2582	1280	720	2.23606797749979	
2583	1280	720	0	
2584	1281	720	1	
2585	1280	719	1.4142135623731	
2586	1284	719	4	
2587	1281	719	3	
2588	1280	720	1.4142135623731	
2589	1281	720	1	
2590	1280	720	1	
2591	1281	708	12.0415945787923	
2592	1279	714	6.32455532033676	
2593	1271	703	13.6014705087354	
2594	1272	711	8.06225774829855	
2595	1279	720	11.4017542509914	
2596	1277	724	4.47213595499958	
2597	1280	720	5	
2598	1280	720	0	
2599	1280	720	0	
2600	1280	720	0	
2601	1280	720	0	
2602	1280	720	0	
2603	1280	720	0	
2604	1244	713	36.6742416417845	
2605	1251	715	7.28010988928052	
2606	1256	716	5.09901951359278	
2607	1275	717	19.0262975904404	
2608	1284	716	9.05538513813742	
